ctx_a,ctx_b,ctx,endings,id,ind,activity_label,source_id,split,split_type,label
"[header] Cum să te vindeci de plamânul colapsat [title] Mergi la camera de urgență. [step] Du-te imediat la medic sau la camera de urgență dacă experimentezi durere bruscă în piept sau orice alt simptom al plămânului colapsat cum ar fi dificultăți de respirație, dilatarea nărilor, strângerea în piept și oboseală ușoară. [substeps] Dacă a existat un traumatism la nivelul pieptului, trebuie să se consulte un medic dacă apare dispnee și durere în piept sau dacă se tusește sânge.",,"[header] Cum să te vindeci de plamânul colapsat [title] Mergi la camera de urgență. [step] Du-te imediat la medic sau la camera de urgență dacă experimentezi durere bruscă în piept sau orice alt simptom al plămânului colapsat cum ar fi dificultăți de respirație, dilatarea nărilor, strângerea în piept și oboseală ușoară. [substeps] Dacă a existat un traumatism la nivelul pieptului, trebuie să se consulte un medic dacă apare dispnee și durere în piept sau dacă se tusește sânge.","['Un plămân colapsat poate fi cauzat de o varietate de factori. Cel mai des, este rezultatul unui traumatism la nivelul pieptului sau al cutiei toracice.', '[title] Eliminați obiectele grele care apasă pe piept. [step] Examină conținutul pieptului și ia măsurători bazate pe mărimea și forma obiectelor pe care le-ai mutat înainte de plămânul colapsat.', '[title] Verificați pentru dificultăți de respirație la cei care au avut plămânul colapsat. [step] Dificultățile de respirație pentru pacienții cu căile respiratorii închise, probleme cardiace sau probleme cardiace afectează adesea respirația.', 'Dacă experimentați oricare dintre aceste simptome, apelați imediat serviciile de urgență. Tusea va ajuta la prevenirea declanșării unui alt atac de sufocare.']",hellaswag/validation/9107,43404,Health,wikihow~71429,val,indomain,0
"[header] Cum să faci să fie confortabile sandalele [title] Evită să porți o pereche nouă de sandale pentru o plimbare lungă. [step] Poartă sandalele pentru perioade scurte de timp la început până când se vor așeza. În caz contrar, riști să te tai și să te simți incomod.",,"[header] Cum să faci să fie confortabile sandalele [title] Evită să porți o pereche nouă de sandale pentru o plimbare lungă. [step] Poartă sandalele pentru perioade scurte de timp la început până când se vor așeza. În caz contrar, riști să te tai și să te simți incomod.","['De asemenea, este posibil să simți durere musculară în picioare și în șolduri dacă încă nu te-ai obișnuit cu sandalele. Încearcă să iei lucrurile ușor în primele câteva purtări.', 'Purtarea unei perechi de sandale pe loc va reduce ceea ce poți purta. [substeps] Nu este neobișnuit ca sandalele să se uzeze în timp.', 'Poartă sandale doar dacă sunt potrivite pentru purtarea de zi cu zi, după ce te-ai obișnuit cu ele. [substeps] Evită sandalele cumpărate din magazin, variantele scurte ale mărcii sau modelului pe care vrei să le folosești.', 'Nu este recomandat să porți încălțăminte care ți-ar putea încurca picioarele, dar sandalele cu talpă ușoară și degetul deschis nu le vor răni. Învățarea să le porți confortabil nu va avea același efect asupra picioarelor tale.']",hellaswag/validation/4838,12189,Personal Care and Style,wikihow~20112,val,zeroshot,0
Există un grup de cântăreți de muzică pop-coreeană care cântă pe o scenă.,unul dintre cântăreți,Există un grup de cântăreți de muzică pop-coreeană care cântă pe o scenă. unul dintre cântăreți,"['se întinde înaintea interpretării sale.', 'face o coregrafie pe o scenă neagră.', 'ajunge primul pe scenă și începe să cânte despre țara sa natală.', 'cântă la vioară în timp ce publicul îl aclamă și aplaudă.']",hellaswag/validation/1387,20575,Playing violin,activitynet~v_4A49mkP6HsM,val,zeroshot,3
[header] Cum să faci chifle de frigider peste noapte [title] Combinați apa și drojdia. [step] Adăugați 1 pachet de drojdie uscată activă și 1¼ (294 ml) cană cu apă caldă într-un bol mare. Amestecați amestecul până când drojdia se dizolvă.,,[header] Cum să faci chifle de frigider peste noapte [title] Combinați apa și drojdia. [step] Adăugați 1 pachet de drojdie uscată activă și 1¼ (294 ml) cană cu apă caldă într-un bol mare. Amestecați amestecul până când drojdia se dizolvă.,"['Când se îngroașă, puteți procesa aluatul într-un procesor de alimente sau pur și simplu să-l transferați într-un bol de amestecare de 1 inch (2,5 cm) și să-l puneți deoparte. [substeps] Dacă doriți, puteți înlocui ½ linguriță (1,89 ml) de făină kashmiri pentru procesorul de alimente pentru a incorpora drojdia.', 'Veți avea nevoie de aproximativ 10 căței de merișoare uscate dizolvate, 2 lingurițe de apă și 1 lingură de zahăr brun. [substeps] Merișoarele proaspete creează un strat gros care este cel mai bine utilizat pe alimentele non-organice.', '[substeps] Bolul trebuie să fie destul de mare pentru a menține aproximativ 1 litru (0,39 galone americane) de apă. Dacă bolul dvs. este prea mic și începeți de la zero, puteți folosi un recipient mai greu din sticlă sau o bucată de plastic.', '[substeps] Apa ar trebui să fie aproximativ între 105 și 115 grade Fahrenheit (40 și 46 de grade Celsius). Folosiți un termometru pentru a vă asigura că este destul de cald pentru a activa drojdia.']",hellaswag/validation/3998,5782,Food and Entertaining,wikihow~9588,val,indomain,3
Un copil așezat la masa unui restaurant își pune mâinile într-un desert.,copilul,Un copil așezat la masa unui restaurant își pune mâinile într-un desert. copilul,"['mănâncă desertul și privește în depărtare către camera.', 'își pune mâinile înapoi în desert.', 'folosește mâinile pentru a mânca mâncarea.', 'se ridică în picioare și merge spre camera.']",hellaswag/validation/319,4447,Having an ice cream,activitynet~v_ok6LTNirAPo,val,zeroshot,2
"[header] Cum să-ți creezi propria linie de îmbrăcăminte [title] Gândește-te la un nume pentru linia ta de îmbrăcăminte. [step] Scrie cât mai multe idei poți să-ți vină în minte, apoi alege-ți favorita. [title] Decide asupra publicului țintă.",,"[header] Cum să-ți creezi propria linie de îmbrăcăminte [title] Gândește-te la un nume pentru linia ta de îmbrăcăminte. [step] Scrie cât mai multe idei poți să-ți vină în minte, apoi alege-ți favorita. [title] Decide asupra publicului țintă.","['[step] Crearea liniei tale de îmbrăcăminte ar trebui să fie o problemă simplă de rezolvat acasă. Scopul poate fi acela de a atrage privirile asupra liniei tale de îmbrăcăminte astfel încât să poată vedea și căuta produsele tale.', '[step] Ai prieteni sau membri ai familiei care sunt pasionați de modă, au observat tendințele în ceea ce privește îmbrăcămintea în zona lor și care reprezintă un model bun. Petrece timp cu acest public țintă, ceea ce te va ajuta să-ți promovezi linia de produse și să atragi potențiali clienți.', '[step] Informează-te cu privire la publicul tău țintă pe parcursul zilei. Poți alege o etapă la un moment dat, în timp ce preocupările tale legate de impresionarea unei populații nu sunt întotdeauna măsurate în cadrul unei convenții.', '[step] Acest lucru va influența nu numai design-urile tale, ci și prețurile design-urilor. Ai de gând să creezi design-urile de la zero sau să creezi o linie de îmbrăcăminte reciclată? [title] Începe să creezi haine.']",hellaswag/validation/3700,3496,Personal Care and Style,wikihow~5777,val,zeroshot,3
"[header] Cum să vopsești o perucă din păr uman [title] Alege o vopsea normală pentru păr. [step] Puteți utiliza orice culoare de păr disponibilă într-o farmacie. Rețineți, totuși, că ar trebui să întunecați doar perucile din păr uman.",,"[header] Cum să vopsești o perucă din păr uman [title] Alege o vopsea normală pentru păr. [step] Puteți utiliza orice culoare de păr disponibilă într-o farmacie. Rețineți, totuși, că ar trebui să întunecați doar perucile din păr uman.","['Încercați nuanțe închise astfel încât să nu iasă prea mult în evidență în perucile negre și albe. [title] Amestecă înălbitorul pe care l-ai achiziționat cu vopseaua.', 'Nu încercați să luminați părul, deoarece înălbitorul folosit în culorile mai deschise poate slăbi părul din perucă. [substeps] Nu utilizați vopsea pentru țesături la perucile din păr uman.', '[substeps] Unele peruci au patchuri de cauciuc, unde puteți prinde șuvițe de păr. [title] Clătiți perucă cu apă rece.', 'Veți dori să utilizați culori naturale, cum ar fi maro, roz deschis, negru sau bej pentru a vopsi o perucă. Încercați aceste metode: [substeps] Puteți utiliza orice culoare doriți, dar rețineți că s-ar putea să nu găsiți vopseaua de păr potrivită.']",hellaswag/validation/9056,42983,Personal Care and Style,wikihow~70729,val,zeroshot,1
O cameră se mișcă departe de aparatele de exerciții și se concentrează asupra picioarelor unei femei care se mișcă.,femeia,O cameră se mișcă departe de aparatele de exerciții și se concentrează asupra picioarelor unei femei care se mișcă. femeia,"['progresa în călătoria ei și se oprește, apoi continuă să se exerciție pe podea.', 'continuă să lucreze la primul exercițiu prin înclinarea înainte și mișcarea picioarelor.', 'este apoi văzută folosind aparatul, ajustând setările și continuând să alerge.', 'își scoate tenișii și șosetele și-și freacă piciorul de bancă.']",hellaswag/validation/933,13122,Elliptical trainer,activitynet~v_ZwIu2pPxB3Y,val,indomain,2
[header] Cum să cumpărați accesorii de bucătărie [title] Cunoașteți numărul de model al electrocasnicului dumneavoastră. [step] Acest lucru vă poate ajuta să găsiți piesa specifică (s) de care aveți nevoie pentru electrocasnicele de bucătărie (s). [substeps] Încercați să căutați în interiorul unei uși a unui electrocasnic mare sau pe partea de jos a unui electrocasnic de blat pentru a găsi numărul său de model.,,[header] Cum să cumpărați accesorii de bucătărie [title] Cunoașteți numărul de model al electrocasnicului dumneavoastră. [step] Acest lucru vă poate ajuta să găsiți piesa specifică (s) de care aveți nevoie pentru electrocasnicele de bucătărie (s). [substeps] Încercați să căutați în interiorul unei uși a unui electrocasnic mare sau pe partea de jos a unui electrocasnic de blat pentru a găsi numărul său de model.,"['De exemplu, dacă instalați o chiuvetă, verificați dacă numărul său de model este scris sub mânerul care se deschide și se închide. Puteți găsi numărul de model sub partea inferioară a aparatului (deasupra axilei).', 'Puteți găsi informații și la www.iconic-technology hyperlink și în partea de sus a oricărei uși pentru a găsi un număr de model. Extindeți criteriile de căutare după cum este necesar.', 'Numărul poate fi tipărit pe o etichetă adezivă. [title] Vizitați site-ul producătorului pentru electrocasnicul dumneavoastră.', 'Acesta este în general 1-8888. [title] Reduceți căutarea dumneavoastră la posibil unele dimensiuni mai mici ale aparatelor.']",hellaswag/validation/6801,26291,Home and Garden,wikihow~43323,val,indomain,2
"O femeie face semnul pozitiv cu degetul mare în sus în timp ce face rafting pe un râu. Ea trece prin cascade mici, încercând să rămână în picioare.",ei,"O femeie face semnul pozitiv cu degetul mare în sus în timp ce face rafting pe un râu. Ea trece prin cascade mici, încercând să rămână în picioare. ei","['continuă să înainteze pe apele repezi.', 'rămân blocați într-un loc calm din mijlocul râului, dar apoi reușesc să se elibereze.', 'se plimbă înainte și înapoi o perioadă de timp înainte ca râul să se liniștească și să își încheie aventura pe rafturi.', 'încep să meargă cu rafturile prin munți.']",hellaswag/validation/2977,45604,River tubing,activitynet~v_3OcAjx8e4LU,val,indomain,0
[header] Cum se folosește un sterilizator de sticle [title] Adăugați cantitatea recomandată de apă în sterilizator. [step] Sterilizatoarele cu abur necesită adăugarea unei cantități mici de apă pentru a crea abur. Consultați manualul utilizatorului pentru a determina câtă apă trebuie utilizată.,,[header] Cum se folosește un sterilizator de sticle [title] Adăugați cantitatea recomandată de apă în sterilizator. [step] Sterilizatoarele cu abur necesită adăugarea unei cantități mici de apă pentru a crea abur. Consultați manualul utilizatorului pentru a determina câtă apă trebuie utilizată.,"['Prea puțină apă poate să nu sterilizeze sticlele corespunzător, dar prea multă ar putea duce la debordarea vasului. [substeps] Verificați instrucțiunile sterilizatorului pentru a vedea dacă există un tip specific de apă pe care trebuie să-l utilizați.', '[substeps] Utilizați o cantitate suficientă de apă în funcție de cantitatea necesară. De exemplu, pentru a steriliza 19 uncii de bere, adăugați 750 ml de apă la trei kilograme de bere, astfel încât 24 de galoni sunt aproximativ maximul de care aveți nevoie pentru a steriliza 25 de pinte de bere.', 'De exemplu, un copil relativ tânăr cu o greutate de aproximativ 36 lbs nu trebuie să adauge mai mult de un galon de apă într-un sterilizator. [substeps] Dacă copilul dumneavoastră are o problemă de sănătate gravă, este posibil să aveți nevoie de mai multă apă decât cantitatea recomandată.', '[substeps] De asemenea, puteți înmuia o cârpă mică în apă rece timp de până la douăzeci de minute, apoi amestecați cârpa cu o periuță de dinți. Nu atingeți sterilizatorul cu mâna în timp ce este în sterilizator.']",hellaswag/validation/5642,17852,Family Life,wikihow~29473,val,zeroshot,0
"[header] Cum să taiți ciocolata [title] Obțineți ciocolata. [step] Tipul de ciocolată depinde de ceea ce pregătiți și de preferințele dvs. puteți alege între ciocolată neagră, cu lapte sau albă.",,"[header] Cum să taiți ciocolata [title] Obțineți ciocolata. [step] Tipul de ciocolată depinde de ceea ce pregătiți și de preferințele dvs. puteți alege între ciocolată neagră, cu lapte sau albă.","['Ciocolata poate fi cumpărată aproape de orice magazin alimentar. Rețineți că unele tipuri de ciocolată sunt mai ușor de tăiat decât altele.', '[substeps] Ciocolata neagră este de obicei cea mai ușor de combinat, deși ciocolata cu lapte și cea albă sunt considerate cele mai rare. Cumpărați ciocolată în cantități mari de la magazinul de lactate dacă trebuie să o stocați.', 'Pentru un gust bogat în ciocolată și cremozitate, alegeți fie smântână, ciocolată neagră, cu lapte sau albă. [substeps] Când cumpărați ciocolată, vizitați un magazin alimentar, un supermarket specializat sau căutați online rețeta.', '[title] Răspândiți ciocolata pe o față de masă, vas sau foc. [step] Puneți numărul exact de bucăți pe care l-am făcut eu și nu supraestimați, altfel veți rămâne fără ciocolată.']",hellaswag/validation/6461,23822,Food and Entertaining,wikihow~39326,val,indomain,0
"[header] Cum să faci cartofi zdrobiți prăjiți [title] Puneți cartofii într-un vas și acoperiți-i cu apă. [step] Adăugați 4 lire sterline (1,8 kg) de cartofi mici roșii sau Yukon Gold într-un vas mare. Umpleți vasul cu suficientă apă rece pentru a acoperi cartofii cu cel puțin 2 inci (5 cm).",,"[header] Cum să faci cartofi zdrobiți prăjiți [title] Puneți cartofii într-un vas și acoperiți-i cu apă. [step] Adăugați 4 lire sterline (1,8 kg) de cartofi mici roșii sau Yukon Gold într-un vas mare. Umpleți vasul cu suficientă apă rece pentru a acoperi cartofii cu cel puțin 2 inci (5 cm).","['[substeps] Cartofii Fingerling funcționează de asemenea bine pentru rețetă. [title] Condimentați apa cu sare și lăsați-o să fiarbă.', 'Adăugați sare în apă astfel încât cartofii să fie scufundați. Cartofii trebuie să miroasă proaspăt și parfumat, deoarece sunt înmuiați cu ceapa și usturoiul proaspăt gătit.', 'Lăsați cartofii să se înmoaie timp de 10 până la 15 minute. [substeps] Nu utilizați 1 pound (0,45 kg) de cartofi congelați în această rețetă.', '[substeps] Alternativ, dacă preferați să gătiți cartofii separat, puteți simplu fierbe apa pentru ca aceștia să se coacă în cuptor. Acest lucru ar trebui să fie suficient timp pentru a permite cartofilor să se rumenească bine și să se coacă uniform.']",hellaswag/validation/7241,29654,Food and Entertaining,wikihow~48899,val,indomain,0
O atletă de alergare stă pe pista de alergare.,ea,O atletă de alergare stă pe pista de alergare. ea,"['alergă, sărind de la o parte la alta.', 'aleargă pe pistă.', 'intră în poziție, apoi aleargă.', 'alergă, apoi sare într-un căruț în formă de bol.']",hellaswag/validation/2451,37685,High jump,activitynet~v_wtoKUYBw9f4,val,zeroshot,2
"Se vede perspectiva din prima persoană a unui bărbat care conduce o mașină de tuns iarba. Face viraje rapid, tundând gazonul.",el,"Se vede perspectiva din prima persoană a unui bărbat care conduce o mașină de tuns iarba. Face viraje rapid, tundând gazonul. el","['continuă până când întregul curte este tuns.', 'nu se oprește niciodată, calcând iarba și tăind-o înapoi.', 'se mișcă înainte și înapoi, făcând diverse alte activități și privind spre cameră.', 'se deplasează încet înapoi pentru a tunde gazonul.']",hellaswag/validation/199,2638,Cutting the grass,activitynet~v_VOGF4tBFEuw,val,zeroshot,0
"[header] Cum să vă pregătiți pielea pentru un tratament cu peeling chimic [title] Abțineți-vă de la orice alt tratament cu peeling chimic. [step] În cele două săptămâni anterioare tratamentului cu peeling chimic, este imperativ să vă abțineți de la orice alt tratament cu peeling chimic. Dacă a trecut mai puțin de două săptămâni de la ultimul dvs. tratament cu peeling chimic, trebuie să așteptați cel puțin 14 zile.",,"[header] Cum să vă pregătiți pielea pentru un tratament cu peeling chimic [title] Abțineți-vă de la orice alt tratament cu peeling chimic. [step] În cele două săptămâni anterioare tratamentului cu peeling chimic, este imperativ să vă abțineți de la orice alt tratament cu peeling chimic. Dacă a trecut mai puțin de două săptămâni de la ultimul dvs. tratament cu peeling chimic, trebuie să așteptați cel puțin 14 zile.","['[title] Evitați tratamentele cu microdermabraziune. [step] Tratamentele cu microdermabraziune funcționează similar cu tratamentele cu peeling chimic, cu excepția faptului că acest tratament folosește un instrument abraziv ușor pentru a îndepărta stratul exterior al pielii.', 'Înainte de aceste două săptămâni, orice tratament cu peeling, lotiuni, lipoaspirație sau alte terapii cu peeling chimic pot fi oprite. În timpul acestui timp, opriți orice tratament cu peeling chimic care este făcut în pregătirea pentru tratamentul cu peeling chimic.', '[substeps] Dacă pielea dvs. a fost diagnosticată cu dermatită sau altă formă de cancer, trebuie să vă odihniți și să vă recuperați complet înainte de a atinge pielea. Nu aplicați tratamentul cu peeling chimic până când nu s-a vindecat complet.', '[substeps] În plus, trebuie să vă abțineți și de la încercarea unui tratament cu peeling chimic dacă aveți o condiție numită parvo. Aveți doar 21 de zile la dispoziție pentru a finaliza tratamentul cu peeling chimic cu parvo.']",hellaswag/validation/5246,14975,Personal Care and Style,wikihow~24771,val,zeroshot,0
